sacc,count,taxid,common_name,scientific_name,Genus,Family,Order,Class,Kingdom,ref_name
NC_014456,854,61384,bobcat,Lynx rufus,Lynx,Felidae,Carnivora,Mammalia,Metazoa,"Lynx rufus mitochondrion, complete genome"
KR132584,352,61384,bobcat,Lynx rufus,Lynx,Felidae,Carnivora,Mammalia,Metazoa,"Lynx rufus mitochondrion, partial genome"
KU891252,303,798169,Sikkim mountain vole,Neodon sikimensis,Neodon,Cricetidae,Rodentia,Mammalia,Metazoa,"Neodon sikimensis mitochondrion, complete genome"
NC_008093,273,9614,coyote,Canis latrans,Canis,Canidae,Carnivora,Mammalia,Metazoa,"Canis latrans mitochondrion, complete genome"
KR132588,71,9696,puma,Puma concolor,Puma,Felidae,Carnivora,Mammalia,Metazoa,"Puma concolor mitochondrion, partial genome"
NC_008064,60,537919,East European vole,Microtus levis,Microtus,Cricetidae,Rodentia,Mammalia,Metazoa,"Microtus levis mitochondrion, complete genome"
MN199171,27,1449541,narrow-headed vole,Lasiopodomys gregalis,Lasiopodomys,Cricetidae,Rodentia,Mammalia,Metazoa,"Lasiopodomys gregalis isolate MI080 mitochondrion, partial genome"
KP128940,26,1621116,NA,Urocyon littoralis dickeyi,Urocyon,Canidae,Carnivora,Mammalia,Metazoa,"Urocyon littoralis dickeyi isolate 472C575E42 mitochondrion, complete genome"
NC_010340,15,246881,Mongolian wolf,Canis lupus chanco,Canis,Canidae,Carnivora,Mammalia,Metazoa,"Canis lupus chanco mitochondrion, complete genome"
KT725595,14,527686,Gray red-backed vole,Myodes rufocanus,Myodes,Cricetidae,Rodentia,Mammalia,Metazoa,"Myodes rufocanus mitochondrion, complete genome"
JF261175,5,311220,Yangtze vole,Microtus fortis calamorum,Microtus,Cricetidae,Rodentia,Mammalia,Metazoa,"Microtus fortis calamorum mitochondrion, complete genome"
MG948434,5,47230,Common vole,Microtus arvalis,Microtus,Cricetidae,Rodentia,Mammalia,Metazoa,"Microtus arvalis voucher 15-006 mitochondrion, complete genome"
MN199169,5,1449541,narrow-headed vole,Lasiopodomys gregalis,Lasiopodomys,Cricetidae,Rodentia,Mammalia,Metazoa,"Lasiopodomys gregalis isolate MG2 mitochondrion, complete genome"
KX857786,4,37029,leopard cat,Prionailurus bengalensis,Prionailurus,Felidae,Carnivora,Mammalia,Metazoa,"Prionailurus bengalensis isolate PBE_165_Tibet mitochondrion, partial genome"
KU177045,3,10060,muskrat,Ondatra zibethicus,Ondatra,Cricetidae,Rodentia,Mammalia,Metazoa,"Ondatra zibethicus mitochondrion, complete genome"
KU290432,3,9615,dog,Canis lupus familiaris,Canis,Canidae,Carnivora,Mammalia,Metazoa,"Canis lupus familiaris isolate 135T mitochondrion, complete genome"
NC_035611,3,246392,plateau mouse,Peromyscus melanophrys,Peromyscus,Cricetidae,Rodentia,Mammalia,Metazoa,"Peromyscus melanophrys mitochondrion, complete genome"
KP202260,2,37029,leopard cat,Prionailurus bengalensis,Prionailurus,Felidae,Carnivora,Mammalia,Metazoa,"Prionailurus bengalensis isolate PBE_82 mitochondrion, complete genome"
KP202287,2,46842,little spotted cat,Leopardus tigrinus,Leopardus,Felidae,Carnivora,Mammalia,Metazoa,"Leopardus tigrinus isolate LTI_CA mitochondrion, complete genome"
KR132592,2,61403,flat-headed cat,Prionailurus planiceps,Prionailurus,Felidae,Carnivora,Mammalia,Metazoa,"Prionailurus planiceps mitochondrion, partial genome"
KR132596,2,61388,fishing cat,Prionailurus viverrinus,Prionailurus,Felidae,Carnivora,Mammalia,Metazoa,"Prionailurus viverrinus mitochondrion, partial genome"
KX014874,2,259054,NA,Eothenomys miletus,Eothenomys,Cricetidae,Rodentia,Mammalia,Metazoa,"Eothenomys miletus mitochondrion, complete genome"
MG833880,2,771787,Smokey vole,Neodon fuscus,Neodon,Cricetidae,Rodentia,Mammalia,Metazoa,"Neodon fuscus mitochondrion, complete genome"
NC_005212,2,32536,cheetah,Acinonyx jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Metazoa,"Acinonyx jubatus mitochondrion, complete genome"
NC_016055,2,798166,Irene's mountain vole,Neodon irene,Neodon,Cricetidae,Rodentia,Mammalia,Metazoa,"Neodon irene mitochondrion, complete genome"
JN392459,1,300877,Amur leopard cat,Prionailurus bengalensis euptilurus,Prionailurus,Felidae,Carnivora,Mammalia,Metazoa,"Prionailurus bengalensis euptilurus mitochondrion, complete genome"
KE165344,1,59894,collared flycatcher,Ficedula albicollis,Ficedula,Muscicapidae,Passeriformes,Aves,Metazoa,"Ficedula albicollis isolate OC2 unplaced genomic scaffold N00221, whole genome shotgun sequence"
KF387633,1,1398410,hill fox,Vulpes vulpes montana,Vulpes,Canidae,Carnivora,Mammalia,Metazoa,"Vulpes vulpes montana mitochondrion, complete genome"
KF819832,1,399234,Mandarin vole,Lasiopodomys mandarinus,Lasiopodomys,Cricetidae,Rodentia,Mammalia,Metazoa,"Lasiopodomys mandarinus mitochondrion, complete genome"
KJ139388,1,9615,dog,Canis lupus familiaris,Canis,Canidae,Carnivora,Mammalia,Metazoa,"Canis lupus familiaris isolate 1695_CAL1 mitochondrion, complete genome"
KM892811,1,447135,Bank vole,Myodes glareolus,Myodes,Cricetidae,Rodentia,Mammalia,Metazoa,"Myodes glareolus voucher 301 mitochondrion, complete genome"
KP202271,1,32536,cheetah,Acinonyx jubatus,Acinonyx,Felidae,Carnivora,Mammalia,Metazoa,"Acinonyx jubatus isolate AJU mitochondrion, complete genome"
KP202289,1,61382,margay,Leopardus wiedii,Leopardus,Felidae,Carnivora,Mammalia,Metazoa,"Leopardus wiedii isolate LWI mitochondrion, complete genome"
KP202293,1,61386,Kodkod,Leopardus guigna,Leopardus,Felidae,Carnivora,Mammalia,Metazoa,"Leopardus guigna isolate OGU mitochondrion, complete genome"
KR132583,1,191816,Spanish lynx,Lynx pardinus,Lynx,Felidae,Carnivora,Mammalia,Metazoa,"Lynx pardinus mitochondrion, partial genome"
